file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111121_www.zdrowiutko.info_974b6000f979b037cca015e83a107762db4890e6216ad7767d15ebbf	80.59	86.27	75.61	0.00	0.00	0.00	465	74	150	0	20	0
20111121_www.zdrowiutko.info_d6ef7934b7e61cb4db76438cc3e26017ef9e689b1541a1631aa8a4e1	87.72	90.50	85.10	0.00	0.00	0.00	857	90	150	0	20	0
20111121_www.zdrowiutko.info_f468b28dcbabeba53d25452eb69d90c23ee980993795c741cb1c9712	79.67	87.33	73.24	0.00	0.00	0.00	386	56	141	0	11	0
20111124_www.express.gr_41edb297aa4c3872c400d4cafdd44d524fc56f1c7c28eaf2c3ae6256	64.38	89.08	50.40	0.00	0.00	0.00	253	31	249	0	8	0
20111124_www.express.gr_5b7195d8167087d0cac73874900dbaf94452577d900c917daddc2049	77.09	91.54	66.58	0.00	0.00	0.00	498	46	250	0	12	0
20111124_www.express.gr_b265df49bdcd900f8f251ea5c3fefe09438ea7270187d1228ce54a87	56.42	86.83	41.78	0.00	0.00	0.00	178	27	248	0	6	0
20111124_www.express.gr_b3b0b46160797ac992227af3a7b80c59f959cc8d72d94a439cc59e4d	68.06	91.85	54.06	0.00	0.00	0.00	293	26	249	0	7	0
20111124_www.express.gr_bbd4749990571767de952fd3133d2ec377dd7db73ee39e2a2f03feee	74.83	90.66	63.70	0.00	0.00	0.00	437	45	249	0	11	0
20111125_www.express.gr_14f9f62d33e82fd04a24eae22121a78d1c99a4d02c2379150e9318f6	70.91	87.94	59.40	0.00	0.00	0.00	379	52	259	0	15	0
20111125_www.express.gr_a694c95c23d5f13418425bc9c10be8b7f28af890e02ba9df7a8cba0a	81.37	91.05	73.55	0.00	0.00	0.00	712	70	256	0	18	0
20111126_www.express.gr_6219a1e1667df8fd3c1a6986603d18290530ce62404ca1b9ede5f401	80.19	93.96	69.94	0.00	0.00	0.00	591	38	254	0	11	0
20111128_cxid.info_8457bff189418435d7f0412b105092467e24d4bc22c56c5f787cd65d	33.61	77.22	21.48	0.00	0.00	0.00	122	36	446	0	5	0
20111128_dozor.kharkov.ua_f3b980e81e058464fd3126929bfb11abd46f286d6747d07f2140f490	0.97	2.06	0.64	0.00	0.00	0.00	5	238	781	0	10	0
20111128_globalist.org.ua_5be549e96570e486891bf881eacbfddb2d6908f251c2d23bffe7e213	68.98	79.93	60.66	0.00	0.00	0.00	239	60	155	0	7	0
20111128_gorodlip.ru_d8a37399572148f53db84da1e4beb795915a508b97023d958cfeb983	70.87	76.53	65.99	0.00	0.00	0.00	163	50	84	0	8	0
20111128_krasnoturinsk.info_5a3bfe4c4a2968237c0aaee00b904f9d78a311ee826c1913c7b15bc0	3.36	6.47	2.27	0.00	0.00	0.00	24	347	1035	0	7	0
20111128_medportal.ru_5373dbb4efcf35c8e37ec4bb2acffbc1138e77d16d7f37bf40b7c967	32.90	81.77	20.60	0.00	0.00	0.00	166	37	640	0	6	0
20111128_medportal.ru_ed026c43e1ffdc60af3ea9f370ef5a6da7bcf25094cdb0a4fddccc57	60.17	81.25	47.77	0.00	0.00	0.00	182	42	199	0	7	0
20111128_news.argumenti.ru_f26d5091e52476e091e13cdddb38a1c010fdc3f8ecb1ba6395a30fc6	23.95	50.38	15.71	0.00	0.00	0.00	131	129	703	0	7	0
20111128_news.bcm.ru_51f1c8d6e09c4ed03027a7d14443c92eb9cb506bce82a6a9c45ccd04	60.36	86.71	46.30	0.00	0.00	0.00	300	46	348	0	8	0
20111128_news.bcm.ru_612395c1206be9b438b4eb493abe4b9c4b436263f490185758c3073e	40.47	80.81	26.99	0.00	0.00	0.00	139	33	376	0	5	0
20111128_news.bcm.ru_f1419d22979d6c691f2531742718e2144783b692018049d5f54a0f9c	2.06	4.23	1.36	0.00	0.00	0.00	14	317	1013	0	8	0
20111128_news.day.az_5fa888d244ce8a22ea48c2a0a008a6e255a0f2608b56526e19afe423	38.18	77.42	25.34	0.00	0.00	0.00	168	49	495	0	8	0
20111128_news.zn.ua_faa9be4c282731ea3549317a571cbf83e5b94a70bd94faecdc4cdb57	44.55	69.88	32.69	0.00	0.00	0.00	239	103	492	0	8	0
20111128_prm.ru_1e627e2f5da52271de697836d25f7e848085d516e2d4982ac7863973	1.08	0.95	1.26	0.00	0.00	0.00	3	314	236	0	5	0
20111128_russian-bazaar.com_6a49ccdcd2b1593e0d20b3a4f11ea91901744aef45355eaeb25c3c07	3.79	4.52	3.27	0.00	0.00	0.00	8	169	237	0	4	0
20111128_top.rbc.ru_5c0edc0481444061258af4069db91fe6003a388f102b526776f6a15c	59.16	87.53	44.68	0.00	0.00	0.00	365	52	452	0	9	0
20111128_top.rbc.ru_780223131eb3c6a04c95f782525de8c94814bfcd61e1a34d7d10cb31	46.07	86.61	31.38	0.00	0.00	0.00	220	34	481	0	5	0
20111128_ubr.ua_ed8680ca9497c6e01814b8be69009bb9d4613a38c2a36a533ef27933	1.28	4.76	0.74	0.00	0.00	0.00	6	120	808	0	5	0
